STATUS,Valence,Arousal,Dominance
likes the sound of thunder.,0.5933333333333334,0.6306666666666666,0.4566666666666667
is so sleepy it's not even funny that's she can't get to sleep.,0.74525,0.35475,0.4555
"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3",0.44190000000000007,0.4718,0.4333
likes how the day sounds in this new song.,0.7948000000000001,0.42960000000000004,0.46299999999999997
is home. <3,0.854,0.27,0.545
www.thejokerblogs.com,0.0,0.0,0.0
"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party.",0.5922000000000001,0.5412,0.5986
is in Kentucky. 421 miles into her 1100 mile journey home.,0.7015,0.4515,0.5205
was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.,0.5640769230769231,0.45846153846153836,0.534076923076923
is celebrating her new haircut by listening to swinger music and generally looking like a doofus.,0.7304444444444446,0.4919999999999999,0.5348888888888887
has a crush on the Green Lantern.,0.5076666666666667,0.4106666666666667,0.38599999999999995
has magic on the brain.,0.7675000000000001,0.552,0.7004999999999999
"saw Transformers, Up, and Year One this week. Good movie overload. :D",0.575375,0.4435,0.50425
Who wants to meet up on schedule pick-up day at Oviedo?,0.665,0.45025000000000004,0.5117499999999999
"desires the thrill of inspiration. Also, money.",0.8915,0.68425,0.741
is going to bed at 9:30! Yeah!,0.5569999999999999,0.307,0.3855
"is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform.",0.6856666666666668,0.3443333333333333,0.5016666666666666
thinks intangibility should be an option in reality settings.,0.6946666666666667,0.39999999999999997,0.588
"is tired. *PROPNAME*, let me go to sleep pl0x.",0.5235,0.32225000000000004,0.36774999999999997
is discovering the many flavors of insomnia.,0.618,0.6276666666666667,0.47933333333333333
"is watching cousin play computer game on televison box thing. Also, sleepy.",0.6385000000000001,0.396875,0.39525
Why is it I'm only getting the urge to draw when I have stuff to do for school? D;,0.6498,0.5025999999999999,0.5394
Who'da thought a single text message could be enough to change my mind?,0.6,0.36333333333333334,0.48
wishes to develop a super power that prevents her from needing to sleep.,0.7223333333333334,0.5416666666666666,0.6233333333333334
"TELL ME WHAT TO DRAW, PLOX.",0.6275,0.39949999999999997,0.469
"found a bunny, bunny died, buried bunny, now is drawing.",0.5521428571428572,0.4579999999999999,0.3082857142857143
<3,0.0,0.0,0.0
is just about insane by now.,0.062,0.67,0.265
wants to sleep eight hours tonight. And so she shall.,0.5984,0.31620000000000004,0.4
"really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness.",0.5797142857142857,0.4994285714285714,0.5564285714285714
has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store.,0.5787142857142857,0.5092857142857142,0.4687142857142858
